,LocationName,SourceFile,AnnotationType,RelativeStartTime,RelativeEndTime,StartTime,EndTime,FileStartTime,LowFreq,HighFreq,Annotation
0,CAR101,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR101_20231216$100000_1702720800.Table.1.selections.txt,Acoustic,0 days 00:42:15.499436,0 days 00:42:45.632668,2023-12-16 10:42:15.499436+00:00,2023-12-16 10:42:45.632668+00:00,2023-12-16 10:00:00,1365.9,3531.5,L
1,CAR101,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR101_20231216$110000_1702724400.Table.1.selections.txt,Acoustic,0 days 00:24:31.149951,0 days 00:25:28.165774,2023-12-16 11:24:31.149951+00:00,2023-12-16 11:25:28.165774+00:00,2023-12-16 11:00:00,1232.7,3065.0,M
2,CAR101,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR101_20231216$110000_1702724400.Table.1.selections.txt,Acoustic,0 days 00:25:56.754382,0 days 00:26:34.382789,2023-12-16 11:25:56.754382+00:00,2023-12-16 11:26:34.382789+00:00,2023-12-16 11:00:00,1299.3,3065.0,M
3,CAR101,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR101_20231216$110000_1702724400.Table.1.selections.txt,Acoustic,0 days 00:30:24.621957,0 days 00:31:06.248661,2023-12-16 11:30:24.621957+00:00,2023-12-16 11:31:06.248661+00:00,2023-12-16 11:00:00,1266.0,2915.1,M
4,CAR101,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR101_20231218$100000_1702893600.Table.1.selections.txt,Acoustic,0 days 00:25:40.272799,0 days 00:26:21.766226,2023-12-18 10:25:40.272799+00:00,2023-12-18 10:26:21.766226+00:00,2023-12-18 10:00:00,366.5,8000.0,L?
5,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$135900_1711181640.Table.1.selections.txt,Acoustic,0 days 00:26:33.889389,0 days 00:26:35.170793,2024-03-23 14:25:33.889389+00:00,2024-03-23 14:25:35.170793+00:00,2024-03-23 13:59:00,830.3,1284.1,C
6,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$135900_1711181640.Table.1.selections.txt,Acoustic,0 days 00:26:35.547677,0 days 00:26:36.716016,2024-03-23 14:25:35.547677+00:00,2024-03-23 14:25:36.716016+00:00,2024-03-23 13:59:00,714.0,1190.0,C
7,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$135900_1711181640.Table.1.selections.txt,Acoustic,0 days 00:26:39.504955,0 days 00:26:40.673295,2024-03-23 14:25:39.504955+00:00,2024-03-23 14:25:40.673295+00:00,2024-03-23 13:59:00,714.0,1223.2,C
8,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$135900_1711181640.Table.1.selections.txt,Acoustic,0 days 00:26:44.140624,0 days 00:26:45.685847,2024-03-23 14:25:44.140624+00:00,2024-03-23 14:25:45.685847+00:00,2024-03-23 13:59:00,708.5,1217.7,C
9,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$135900_1711181640.Table.1.selections.txt,Acoustic,0 days 00:26:48.324032,0 days 00:26:49.680814,2024-03-23 14:25:48.324032+00:00,2024-03-23 14:25:49.680814+00:00,2024-03-23 13:59:00,669.7,1289.7,C
10,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$135900_1711181640.Table.1.selections.txt,Acoustic,0 days 00:26:51.150660,0 days 00:26:52.168246,2024-03-23 14:25:51.150660+00:00,2024-03-23 14:25:52.168246+00:00,2024-03-23 13:59:00,763.8,1306.3,C
11,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$135900_1711181640.Table.1.selections.txt,Acoustic,0 days 00:26:52.168246,0 days 00:26:53.374273,2024-03-23 14:25:52.168246+00:00,2024-03-23 14:25:53.374273+00:00,2024-03-23 13:59:00,791.5,1195.6,C
12,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$135900_1711181640.Table.1.selections.txt,Acoustic,0 days 00:26:56.879291,0 days 00:26:58.537579,2024-03-23 14:25:56.879291+00:00,2024-03-23 14:25:58.537579+00:00,2024-03-23 13:59:00,719.6,1383.8,C
13,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:21:46.183346,0 days 00:21:47.238620,2024-03-23 16:25:46.183346+00:00,2024-03-23 16:25:47.238620+00:00,2024-03-23 16:04:00,837.5,1336.5,C
14,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:21:47.766257,0 days 00:21:48.821531,2024-03-23 16:25:47.766257+00:00,2024-03-23 16:25:48.821531+00:00,2024-03-23 16:04:00,711.3,1365.2,C
15,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:21:48.972285,0 days 00:21:49.688364,2024-03-23 16:25:48.972285+00:00,2024-03-23 16:25:49.688364+00:00,2024-03-23 16:04:00,848.9,1330.8,C
16,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:21:50.781326,0 days 00:21:52.025042,2024-03-23 16:25:50.781326+00:00,2024-03-23 16:25:52.025042+00:00,2024-03-23 16:04:00,705.5,1175.9,C
17,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:21:51.949666,0 days 00:21:52.929563,2024-03-23 16:25:51.949666+00:00,2024-03-23 16:25:52.929563+00:00,2024-03-23 16:04:00,688.3,1187.4,C
18,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:21:53.909460,0 days 00:21:55.341618,2024-03-23 16:25:53.909460+00:00,2024-03-23 16:25:55.341618+00:00,2024-03-23 16:04:00,694.1,1227.5,C
19,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:21:56.057697,0 days 00:21:57.791362,2024-03-23 16:25:56.057697+00:00,2024-03-23 16:25:57.791362+00:00,2024-03-23 16:04:00,596.6,1210.3,C
20,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:22:00.354171,0 days 00:22:01.710952,2024-03-23 16:26:00.354171+00:00,2024-03-23 16:26:01.710952+00:00,2024-03-23 16:04:00,843.2,1239.0,C
21,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:22:03.293863,0 days 00:22:04.386826,2024-03-23 16:26:03.293863+00:00,2024-03-23 16:26:04.386826+00:00,2024-03-23 16:04:00,740.0,1221.8,C
22,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:22:04.499891,0 days 00:22:05.215970,2024-03-23 16:26:04.499891+00:00,2024-03-23 16:26:05.215970+00:00,2024-03-23 16:04:00,728.5,1204.6,C
23,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:22:08.947118,0 days 00:22:10.454652,2024-03-23 16:26:08.947118+00:00,2024-03-23 16:26:10.454652+00:00,2024-03-23 16:04:00,751.4,1296.4,C
24,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:22:11.163306,0 days 00:22:12.218580,2024-03-23 16:26:11.163306+00:00,2024-03-23 16:26:12.218580+00:00,2024-03-23 16:04:00,757.2,1221.8,C
25,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:22:21.376852,0 days 00:22:32.796427,2024-03-23 16:26:21.376852+00:00,2024-03-23 16:26:32.796427+00:00,2024-03-23 16:04:00,659.7,1244.7,C
26,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:22:43.952182,0 days 00:22:47.645642,2024-03-23 16:26:43.952182+00:00,2024-03-23 16:26:47.645642+00:00,2024-03-23 16:04:00,705.5,1267.7,C
27,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240323$160400_1711189140.Table.1.selections.txt,Acoustic,0 days 00:23:08.216063,0 days 00:23:30.150691,2024-03-23 16:27:08.216063+00:00,2024-03-23 16:27:30.150691+00:00,2024-03-23 16:04:00,791.6,1279.2,C
28,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$075800_1711332780.Table.1.selections.txt,Acoustic,0 days 00:07:40.680845,0 days 00:07:42.791393,2024-03-25 08:05:40.680845+00:00,2024-03-25 08:05:42.791393+00:00,2024-03-25 07:58:00,1015.4,1406.5,O
29,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$164500_1711364400.Table.1.selections.txt,Acoustic,0 days 00:27:01.633504,0 days 00:27:03.581144,2024-03-25 17:12:01.633504+00:00,2024-03-25 17:12:03.581144+00:00,2024-03-25 16:45:00,1014.8,3096.3,O
30,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$164500_1711364400.Table.1.selections.txt,Acoustic,0 days 00:27:07.287943,0 days 00:27:08.921447,2024-03-25 17:12:07.287943+00:00,2024-03-25 17:12:08.921447+00:00,2024-03-25 16:45:00,941.3,3084.0,O
31,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$164500_1711364400.Table.1.selections.txt,Acoustic,0 days 00:27:11.057569,0 days 00:27:12.879554,2024-03-25 17:12:11.057569+00:00,2024-03-25 17:12:12.879554+00:00,2024-03-25 16:45:00,892.3,3047.3,O
32,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$164500_1711364400.Table.1.selections.txt,Acoustic,0 days 00:27:15.078503,0 days 00:27:16.712007,2024-03-25 17:12:15.078503+00:00,2024-03-25 17:12:16.712007+00:00,2024-03-25 16:45:00,782.1,3120.8,O
33,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$164500_1711364400.Table.1.selections.txt,Acoustic,0 days 00:27:18.345512,0 days 00:27:20.167497,2024-03-25 17:12:18.345512+00:00,2024-03-25 17:12:20.167497+00:00,2024-03-25 16:45:00,757.6,2937.1,O
34,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$164500_1711364400.Table.1.selections.txt,Acoustic,0 days 00:27:24.753875,0 days 00:27:26.450207,2024-03-25 17:12:24.753875+00:00,2024-03-25 17:12:26.450207+00:00,2024-03-25 16:45:00,745.4,3108.5,O
35,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$164500_1711364400.Table.1.selections.txt,Acoustic,0 days 00:27:27.769576,0 days 00:27:29.277426,2024-03-25 17:12:27.769576+00:00,2024-03-25 17:12:29.277426+00:00,2024-03-25 16:45:00,757.6,3084.0,O
36,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$164500_1711364400.Table.1.selections.txt,Acoustic,0 days 00:27:31.539201,0 days 00:27:33.172706,2024-03-25 17:12:31.539201+00:00,2024-03-25 17:12:33.172706+00:00,2024-03-25 16:45:00,880.1,3071.8,O
37,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$164500_1711364400.Table.1.selections.txt,Acoustic,0 days 00:27:35.308827,0 days 00:27:37.005159,2024-03-25 17:12:35.308827+00:00,2024-03-25 17:12:37.005159+00:00,2024-03-25 16:45:00,794.4,3108.5,O
38,CAR204,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$164500_1711364400.Table.1.selections.txt,Acoustic,0 days 00:27:38.827144,0 days 00:27:40.397822,2024-03-25 17:12:38.827144+00:00,2024-03-25 17:12:40.397822+00:00,2024-03-25 16:45:00,745.4,3120.8,O
