Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
1	Spectrogram 1	1	1.5	4.5	600	1400	C
2	Spectrogram 1	1	3.0	6.0	600	1400	C
3	Spectrogram 1	1	4.5	7.5	600	1400	C
4	Spectrogram 1	1	6.0	9.0	600	1400	C
5	Spectrogram 1	1	10.5	13.5	600	1400	C
6	Spectrogram 1	1	16.5	19.5	600	1400	C
7	Spectrogram 1	1	18.0	21.0	600	1400	C
8	Spectrogram 1	1	30.0	33.0	600	1400	C
9	Spectrogram 1	1	36.0	39.0	600	1400	C
10	Spectrogram 1	1	37.5	40.5	600	1400	C
11	Spectrogram 1	1	45.0	48.0	600	1400	C
12	Spectrogram 1	1	51.0	54.0	600	1400	C
13	Spectrogram 1	1	52.5	55.5	600	1400	C
14	Spectrogram 1	1	55.5	58.5	600	1400	C
15	Spectrogram 1	1	60.0	63.0	600	1400	C
16	Spectrogram 1	1	61.5	64.5	600	1400	C
17	Spectrogram 1	1	64.5	67.5	600	1400	C
18	Spectrogram 1	1	66.0	69.0	600	1400	C
19	Spectrogram 1	1	70.5	73.5	600	1400	C
20	Spectrogram 1	1	75.0	78.0	600	1400	C
21	Spectrogram 1	1	78.0	81.0	600	1400	C
22	Spectrogram 1	1	84.0	87.0	600	1400	C
23	Spectrogram 1	1	85.5	88.5	600	1400	C
24	Spectrogram 1	1	87.0	90.0	600	1400	C
25	Spectrogram 1	1	91.5	94.5	600	1400	C
26	Spectrogram 1	1	94.5	97.5	600	1400	C
27	Spectrogram 1	1	96.0	99.0	600	1400	C
28	Spectrogram 1	1	97.5	100.5	600	1400	C
29	Spectrogram 1	1	99.0	102.0	600	1400	C
30	Spectrogram 1	1	100.5	103.5	600	1400	C
31	Spectrogram 1	1	102.0	105.0	600	1400	C
32	Spectrogram 1	1	105.0	108.0	600	1400	C
33	Spectrogram 1	1	111.0	114.0	600	1400	C
34	Spectrogram 1	1	112.5	115.5	600	1400	C
35	Spectrogram 1	1	114.0	117.0	600	1400	C
36	Spectrogram 1	1	115.5	118.5	600	1400	C
37	Spectrogram 1	1	118.5	121.5	600	1400	C
38	Spectrogram 1	1	120.0	123.0	600	1400	C
39	Spectrogram 1	1	121.5	124.5	600	1400	C
40	Spectrogram 1	1	123.0	126.0	600	1400	C
41	Spectrogram 1	1	124.5	127.5	600	1400	C
42	Spectrogram 1	1	127.5	130.5	600	1400	C
43	Spectrogram 1	1	129.0	132.0	600	1400	C
44	Spectrogram 1	1	133.5	136.5	600	1400	C
45	Spectrogram 1	1	135.0	138.0	600	1400	C
46	Spectrogram 1	1	136.5	139.5	600	1400	C
47	Spectrogram 1	1	138.0	141.0	600	1400	C
48	Spectrogram 1	1	142.5	145.5	600	1400	C
49	Spectrogram 1	1	144.0	147.0	600	1400	C
50	Spectrogram 1	1	148.5	151.5	600	1400	C
51	Spectrogram 1	1	150.0	153.0	600	1400	C
52	Spectrogram 1	1	151.5	154.5	600	1400	C
53	Spectrogram 1	1	153.0	156.0	600	1400	C
54	Spectrogram 1	1	154.5	157.5	600	1400	C
55	Spectrogram 1	1	157.5	160.5	600	1400	C
56	Spectrogram 1	1	159.0	162.0	600	1400	C
57	Spectrogram 1	1	160.5	163.5	600	1400	C
58	Spectrogram 1	1	162.0	165.0	600	1400	C
59	Spectrogram 1	1	165.0	168.0	600	1400	C
60	Spectrogram 1	1	166.5	169.5	600	1400	C
61	Spectrogram 1	1	171.0	174.0	600	1400	C
62	Spectrogram 1	1	172.5	175.5	600	1400	C
63	Spectrogram 1	1	178.5	181.5	600	1400	C
64	Spectrogram 1	1	187.5	190.5	600	1400	C
65	Spectrogram 1	1	193.5	196.5	600	1400	C
66	Spectrogram 1	1	204.0	207.0	600	1400	C
67	Spectrogram 1	1	216.0	219.0	600	1400	C
