Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
1	Spectrogram 1	1	75.0	78.0	600	1400	C
2	Spectrogram 1	1	445.5	448.5	600	1400	C
3	Spectrogram 1	1	480.0	483.0	600	1400	C
4	Spectrogram 1	1	489.0	492.0	600	1400	C
5	Spectrogram 1	1	492.0	495.0	600	1400	C
6	Spectrogram 1	1	510.0	513.0	600	1400	C
7	Spectrogram 1	1	522.0	525.0	600	1400	C
8	Spectrogram 1	1	529.5	532.5	600	1400	C
9	Spectrogram 1	1	564.0	567.0	600	1400	C
10	Spectrogram 1	1	565.5	568.5	600	1400	C
11	Spectrogram 1	1	576.0	579.0	600	1400	C
12	Spectrogram 1	1	583.5	586.5	600	1400	C
13	Spectrogram 1	1	595.5	598.5	600	1400	C
14	Spectrogram 1	1	597.0	600.0	600	1400	C
15	Spectrogram 1	1	600.0	603.0	600	1400	C
16	Spectrogram 1	1	621.0	624.0	600	1400	C
17	Spectrogram 1	1	630.0	633.0	600	1400	C
18	Spectrogram 1	1	658.5	661.5	600	1400	C
19	Spectrogram 1	1	669.0	672.0	600	1400	C
20	Spectrogram 1	1	672.0	675.0	600	1400	C
21	Spectrogram 1	1	675.0	678.0	600	1400	C
22	Spectrogram 1	1	679.5	682.5	600	1400	C
23	Spectrogram 1	1	681.0	684.0	600	1400	C
24	Spectrogram 1	1	682.5	685.5	600	1400	C
25	Spectrogram 1	1	684.0	687.0	600	1400	C
26	Spectrogram 1	1	685.5	688.5	600	1400	C
27	Spectrogram 1	1	688.5	691.5	600	1400	C
28	Spectrogram 1	1	691.5	694.5	600	1400	C
29	Spectrogram 1	1	703.5	706.5	600	1400	C
30	Spectrogram 1	1	706.5	709.5	600	1400	C
31	Spectrogram 1	1	708.0	711.0	600	1400	C
32	Spectrogram 1	1	709.5	712.5	600	1400	C
33	Spectrogram 1	1	757.5	760.5	600	1400	C
34	Spectrogram 1	1	763.5	766.5	600	1400	C
35	Spectrogram 1	1	765.0	768.0	600	1400	C
36	Spectrogram 1	1	766.5	769.5	600	1400	C
37	Spectrogram 1	1	807.0	810.0	600	1400	C
38	Spectrogram 1	1	808.5	811.5	600	1400	C
39	Spectrogram 1	1	810.0	813.0	600	1400	C
40	Spectrogram 1	1	811.5	814.5	600	1400	C
41	Spectrogram 1	1	813.0	816.0	600	1400	C
42	Spectrogram 1	1	817.5	820.5	600	1400	C
43	Spectrogram 1	1	837.0	840.0	600	1400	C
44	Spectrogram 1	1	838.5	841.5	600	1400	C
45	Spectrogram 1	1	840.0	843.0	600	1400	C
46	Spectrogram 1	1	843.0	846.0	600	1400	C
47	Spectrogram 1	1	853.5	856.5	600	1400	C
48	Spectrogram 1	1	865.5	868.5	600	1400	C
49	Spectrogram 1	1	882.0	885.0	600	1400	C
50	Spectrogram 1	1	922.5	925.5	600	1400	C
51	Spectrogram 1	1	963.0	966.0	600	1400	C
52	Spectrogram 1	1	1422.0	1425.0	600	1400	C
53	Spectrogram 1	1	1438.5	1441.5	600	1400	C
54	Spectrogram 1	1	1449.0	1452.0	600	1400	C
55	Spectrogram 1	1	1462.5	1465.5	600	1400	C
56	Spectrogram 1	1	1464.0	1467.0	600	1400	C
57	Spectrogram 1	1	1465.5	1468.5	600	1400	C
58	Spectrogram 1	1	1468.5	1471.5	600	1400	C
59	Spectrogram 1	1	1470.0	1473.0	600	1400	C
60	Spectrogram 1	1	1473.0	1476.0	600	1400	C
61	Spectrogram 1	1	1474.5	1477.5	600	1400	C
62	Spectrogram 1	1	1476.0	1479.0	600	1400	C
63	Spectrogram 1	1	1480.5	1483.5	600	1400	C
64	Spectrogram 1	1	1482.0	1485.0	600	1400	C
65	Spectrogram 1	1	1483.5	1486.5	600	1400	C
66	Spectrogram 1	1	1489.5	1492.5	600	1400	C
67	Spectrogram 1	1	1494.0	1497.0	600	1400	C
68	Spectrogram 1	1	1495.5	1498.5	600	1400	C
69	Spectrogram 1	1	1497.0	1500.0	600	1400	C
70	Spectrogram 1	1	1506.0	1509.0	600	1400	C
71	Spectrogram 1	1	1507.5	1510.5	600	1400	C
72	Spectrogram 1	1	1516.5	1519.5	600	1400	C
73	Spectrogram 1	1	1519.5	1522.5	600	1400	C
74	Spectrogram 1	1	1521.0	1524.0	600	1400	C
75	Spectrogram 1	1	1524.0	1527.0	600	1400	C
76	Spectrogram 1	1	1525.5	1528.5	600	1400	C
77	Spectrogram 1	1	1534.5	1537.5	600	1400	C
78	Spectrogram 1	1	1536.0	1539.0	600	1400	C
79	Spectrogram 1	1	1545.0	1548.0	600	1400	C
80	Spectrogram 1	1	1546.5	1549.5	600	1400	C
81	Spectrogram 1	1	1552.5	1555.5	600	1400	C
82	Spectrogram 1	1	1557.0	1560.0	600	1400	C
83	Spectrogram 1	1	1566.0	1569.0	600	1400	C
84	Spectrogram 1	1	1593.0	1596.0	600	1400	C
85	Spectrogram 1	1	1596.0	1599.0	600	1400	C
86	Spectrogram 1	1	1617.0	1620.0	600	1400	C
87	Spectrogram 1	1	1618.5	1621.5	600	1400	C
88	Spectrogram 1	1	1627.5	1630.5	600	1400	C
89	Spectrogram 1	1	1638.0	1641.0	600	1400	C
90	Spectrogram 1	1	1647.0	1650.0	600	1400	C
91	Spectrogram 1	1	1663.5	1666.5	600	1400	C
92	Spectrogram 1	1	1702.5	1705.5	600	1400	C
93	Spectrogram 1	1	1722.0	1725.0	600	1400	C
94	Spectrogram 1	1	1836.0	1839.0	600	1400	C
95	Spectrogram 1	1	1879.5	1882.5	600	1400	C
96	Spectrogram 1	1	1885.5	1888.5	600	1400	C
97	Spectrogram 1	1	1914.0	1917.0	600	1400	C
98	Spectrogram 1	1	1993.5	1996.5	600	1400	C
99	Spectrogram 1	1	2001.0	2004.0	600	1400	C
100	Spectrogram 1	1	2047.5	2050.5	600	1400	C
101	Spectrogram 1	1	2065.5	2068.5	600	1400	C
102	Spectrogram 1	1	2076.0	2079.0	600	1400	C
103	Spectrogram 1	1	2083.5	2086.5	600	1400	C
104	Spectrogram 1	1	2103.0	2106.0	600	1400	C
105	Spectrogram 1	1	2118.0	2121.0	600	1400	C
106	Spectrogram 1	1	2119.5	2122.5	600	1400	C
107	Spectrogram 1	1	2128.5	2131.5	600	1400	C
108	Spectrogram 1	1	2130.0	2133.0	600	1400	C
109	Spectrogram 1	1	2139.0	2142.0	600	1400	C
110	Spectrogram 1	1	2149.5	2152.5	600	1400	C
111	Spectrogram 1	1	2151.0	2154.0	600	1400	C
112	Spectrogram 1	1	2166.0	2169.0	600	1400	C
113	Spectrogram 1	1	2176.5	2179.5	600	1400	C
114	Spectrogram 1	1	2181.0	2184.0	600	1400	C
115	Spectrogram 1	1	2182.5	2185.5	600	1400	C
116	Spectrogram 1	1	2184.0	2187.0	600	1400	C
117	Spectrogram 1	1	2185.5	2188.5	600	1400	C
118	Spectrogram 1	1	2187.0	2190.0	600	1400	C
119	Spectrogram 1	1	2188.5	2191.5	600	1400	C
120	Spectrogram 1	1	2190.0	2193.0	600	1400	C
121	Spectrogram 1	1	2191.5	2194.5	600	1400	C
122	Spectrogram 1	1	2193.0	2196.0	600	1400	C
123	Spectrogram 1	1	2194.5	2197.5	600	1400	C
124	Spectrogram 1	1	2196.0	2199.0	600	1400	C
125	Spectrogram 1	1	2197.5	2200.5	600	1400	C
126	Spectrogram 1	1	2200.5	2203.5	600	1400	C
127	Spectrogram 1	1	2202.0	2205.0	600	1400	C
128	Spectrogram 1	1	2203.5	2206.5	600	1400	C
129	Spectrogram 1	1	2205.0	2208.0	600	1400	C
130	Spectrogram 1	1	2208.0	2211.0	600	1400	C
131	Spectrogram 1	1	2209.5	2212.5	600	1400	C
132	Spectrogram 1	1	2211.0	2214.0	600	1400	C
133	Spectrogram 1	1	2212.5	2215.5	600	1400	C
134	Spectrogram 1	1	2214.0	2217.0	600	1400	C
135	Spectrogram 1	1	2215.5	2218.5	600	1400	C
136	Spectrogram 1	1	2226.0	2229.0	600	1400	C
137	Spectrogram 1	1	2230.5	2233.5	600	1400	C
138	Spectrogram 1	1	2232.0	2235.0	600	1400	C
139	Spectrogram 1	1	2233.5	2236.5	600	1400	C
140	Spectrogram 1	1	2236.5	2239.5	600	1400	C
141	Spectrogram 1	1	2238.0	2241.0	600	1400	C
142	Spectrogram 1	1	2241.0	2244.0	600	1400	C
143	Spectrogram 1	1	2242.5	2245.5	600	1400	C
144	Spectrogram 1	1	2244.0	2247.0	600	1400	C
145	Spectrogram 1	1	2245.5	2248.5	600	1400	C
146	Spectrogram 1	1	2248.5	2251.5	600	1400	C
147	Spectrogram 1	1	2251.5	2254.5	600	1400	C
148	Spectrogram 1	1	2254.5	2257.5	600	1400	C
