,index,wavfile,fullfilename,sourceFile,startOffset,endOffset
0,734,NEG_000000.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\output\NEG_000000.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR3_20231215$020000_1702605600.Table.1.selections.txt,0 days 00:04:23.200393,0 days 00:04:26.200393
1,734,NEG_000001.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\output\NEG_000001.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240326$144500_1711443600.Table.1.selections.txt,0 days 00:05:31.287408,0 days 00:05:34.287408
2,734,NEG_000002.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\output\NEG_000002.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240325$164500_1711364400.Table.1.selections.txt,0 days 00:04:23.040961,0 days 00:04:26.040961
3,734,NEG_000003.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\output\NEG_000003.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR3_20231215$020000_1702605600.Table.1.selections.txt,0 days 00:02:57.546480,0 days 00:03:00.546480
4,734,NEG_000004.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\output\NEG_000004.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR6_20231213$010000_1702429200.Table.1.selections.txt,0 days 00:01:12.678315,0 days 00:01:15.678315
5,734,NEG_000005.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\output\NEG_000005.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR6_20231214$010000_1702515600.Table.1.selections.txt,0 days 00:00:02.281270,0 days 00:00:05.281270
6,734,NEG_000006.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\output\NEG_000006.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240327$174500_1711540800.Table.1.selections.txt,0 days 00:06:23.777103,0 days 00:06:26.777103
7,734,NEG_000007.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\output\NEG_000007.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR204_20240328$094500_1711598400.Table.1.selections.txt,0 days 00:01:07.428388,0 days 00:01:10.428388
8,734,NEG_000008.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\output\NEG_000008.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR217_20240327$164500_1711537200.Table.1.selections.txt,0 days 00:02:49.297113,0 days 00:02:52.297113
9,734,NEG_000009.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\output\NEG_000009.wav,C:\Users\Amogh\OneDrive - University of Cambridge\Programming-New\CaracalChitalDetector\andrew_cnn\annotations\CAR2_20231214$060000_1702533600.Table.1.selections.txt,0 days 00:02:11.809662,0 days 00:02:14.809662
